"","DATETIME","LEVEL_T1","LEVEL_T2","LEVEL_T3","LEVEL_T4","LEVEL_T5","LEVEL_T6","LEVEL_T7","FLOW_PU1","STATUS_PU1","FLOW_PU2","STATUS_PU2","FLOW_PU3","STATUS_PU3","FLOW_PU4","STATUS_PU4","FLOW_PU5","STATUS_PU5","FLOW_PU6","STATUS_PU6","FLOW_PU7","STATUS_PU7","FLOW_PU8","STATUS_PU8","FLOW_PU9","STATUS_PU9","FLOW_PU10","STATUS_PU10","FLOW_PU11","STATUS_PU11","FLOW_V2","STATUS_V2","PRESSURE_J280","PRESSURE_J269","PRESSURE_J300","PRESSURE_J256","PRESSURE_J289","PRESSURE_J415","PRESSURE_J302","PRESSURE_J306","PRESSURE_J307","PRESSURE_J317","PRESSURE_J14","PRESSURE_J422","ATT_FLAG"
"1","04/01/17 00",0.73,2.27,4,3.26,3.87,5.5,4.28,98.93,"True",98.95,"True",0,"False",33.96,"True",0,"False",0,"False",49.78,"True",33.9,"True",0,"False",29.37,"True",0,"False",80.81,"True",2.97,33.54,26.68,90.54,26.74,84.52,19.43,83.27,19.33,71.33,29.61,28.71,"False"
"2","04/01/17 01",0.69,2.25,4.53,3.26,3.84,5.5,4.78,97.95,"True",97.97,"True",0,"False",34.02,"True",0,"False",0,"False",49.5,"True",0,"False",0,"False",30.63,"True",0,"False",85.44,"True",2.97,34.07,26.67,90.43,26.73,85.04,25.97,64.22,25.86,73.79,29.63,28.73,"False"
"3","04/01/17 02",0.9,2.31,5.03,3.41,3.32,5.16,3.22,96.82,"True",96.84,"True",0,"False",33.33,"True",0,"False",0,"False",48.47,"True",0,"False",0,"False",0,"False",0,"False",91.16,"True",2.98,34.68,26.83,91.72,26.89,87.16,29.18,63.81,29.18,59.05,29.8,28.9,"False"
"4","04/01/17 03",1.11,2.54,5.16,3.97,2.82,5.01,2.54,96.76,"True",96.78,"True",0,"False",0,"False",0,"False",0,"False",48.28,"True",0,"False",0,"False",31.64,"True",0,"False",82.6,"True",2.98,34.71,28.27,76.12,28.23,88.83,26.53,63.42,26.41,70.92,30.8,29.9,"False"
"5","04/01/17 04",1.27,2.99,4.94,4.27,2.35,5.38,3.41,94.77,"True",94.79,"True",0,"False",0,"False",0,"False",0,"False",0,"False",0,"False",0,"False",31.92,"True",0,"False",69.63,"True",2.98,35.78,31.32,75.68,31.32,69.55,27.46,63.43,27.34,70.88,33.61,32.71,"False"
"6","04/01/17 05",1.54,3.72,4.71,3.53,1.99,5.5,4.32,94.58,"True",94.6,"True",0,"False",0,"False",0,"False",0,"False",0,"False",0,"False",0,"False",29.95,"True",0,"False",67.01,"True",2.98,35.88,31.82,75.27,31.82,67.54,27.96,62.65,27.86,78,34.1,33.2,"False"
"7","04/01/17 06",1.85,4.36,4.46,3.01,1.53,5.39,4.44,94.94,"True",94.96,"True",0,"False",0,"False",0,"False",0,"False",50.33,"True",0,"False",0,"False",0,"False",0,"False",81.61,"True",2.98,35.69,29.92,75.46,29.88,86.59,30.49,62.26,30.49,58.83,32.47,31.57,"False"
"8","04/01/17 07",2,4.64,4.24,3.39,2.19,5.05,2.92,95.58,"True",95.6,"True",0,"False",0,"False",0,"False",0,"False",50.51,"True",36.99,"True",0,"False",0,"False",0,"False",76.31,"True",2.98,35.35,29.98,71.26,29.94,86.28,26.75,85.11,26.75,57.57,32.49,31.59,"False"
"9","04/01/17 08",2.06,4.89,3.84,3.65,2.75,5.14,2.81,96.52,"True",96.54,"True",0,"False",0,"False",0,"False",0,"False",50.44,"True",34.99,"True",0,"False",31.15,"True",0,"False",70.84,"True",2.98,34.84,30.05,69.82,30.01,86.48,20.41,82.4,20.29,66.52,32.53,31.63,"False"
"10","04/01/17 09",2.04,5.1,3.4,3.91,3.2,5.21,2.49,96.91,"True",96.93,"True",0,"False",0,"False",0,"False",0,"False",50.94,"True",35.06,"True",0,"False",30.82,"True",0,"False",68.13,"True",2.98,34.63,30.16,70.54,30.12,85.6,20.29,82.17,20.18,67.5,32.63,31.73,"False"
"11","04/01/17 10",1.98,5.28,3.01,3.87,3.56,5.39,2.65,97.19,"True",97.21,"True",0,"False",37.22,"True",0,"False",0,"False",50.59,"True",34.67,"True",0,"False",30.83,"True",0,"False",69.78,"True",2.97,34.48,29.36,87.51,29.44,85.62,20.24,82.79,20.13,67.4,32.29,31.39,"False"
"12","04/01/17 11",1.9,5.09,3.45,3.88,3.99,5.5,2.79,96.33,"True",96.35,"True",0,"False",37.33,"True",0,"False",0,"False",50.16,"True",35.43,"True",0,"False",30.63,"True",0,"False",73.61,"True",2.98,34.94,29.28,87.23,29.36,86.39,20.42,81.65,20.31,68.25,32.23,31.33,"False"
"13","04/01/17 12",2.03,4.97,3.87,4.11,3.08,5.5,2.94,96.43,"True",96.45,"True",0,"False",35.69,"True",0,"False",0,"False",49.83,"True",0,"False",0,"False",31.04,"True",0,"False",75.18,"True",2.98,34.89,29.27,90.17,29.34,87.01,27.25,61.81,27.14,73.72,32.19,31.29,"False"
"14","04/01/17 13",2.13,4.87,4.37,4.43,2.3,5.5,3.8,97.5,"True",97.52,"True",0,"False",35.6,"True",0,"False",0,"False",49.3,"True",0,"False",0,"False",31.2,"True",0,"False",72.3,"True",2.97,34.31,29.13,90.19,29.2,87.9,26.92,61.54,26.81,72.85,32.03,31.13,"False"
"15","04/01/17 14",2.16,5.11,4.88,3.48,1.59,5.5,4.4,96.16,"True",96.18,"True",0,"False",36.49,"True",0,"False",0,"False",0,"False",0,"False",0,"False",31.38,"True",0,"False",68.34,"True",2.98,35.03,30.68,90.16,30.79,63.44,27.38,60.68,27.26,72.7,33.17,32.27,"False"
"16","04/01/17 15",2.14,5.23,5.26,2.9,1.87,5.5,4.75,96.99,"True",97.01,"True",0,"False",0,"False",0,"False",0,"False",50.41,"True",35.29,"True",0,"False",29.72,"True",0,"False",67.19,"True",2.98,34.59,30.28,72.77,30.24,86.77,20.52,81.98,20.41,71.32,32.74,31.84,"False"
"17","04/01/17 16",2.16,5.41,4.88,3.33,2.39,5.21,3.46,96.57,"True",96.59,"True",0,"False",0,"False",0,"False",0,"False",50.72,"True",36.66,"True",0,"False",0,"False",0,"False",68.16,"True",2.98,34.82,30.48,73.06,30.44,86.34,26.49,85.45,26.49,56.11,32.95,32.05,"False"
"18","04/01/17 17",2.33,5.24,4.52,3.58,3.02,4.98,2.21,92.24,"True",92.26,"True",0,"False",0,"False",0,"False",0,"False",50.11,"True",35.16,"True",0,"False",31.24,"True",0,"False",0,"False",2.98,37.12,28.24,72.8,28.2,85.32,22.09,83.79,21.97,67.87,40.09,29.62,"False"
"19","04/01/17 18",2.61,4.71,4.16,3.65,3.57,5.2,2.5,92.66,"True",92.68,"True",0,"False",0,"False",0,"False",0,"False",49.6,"True",35.19,"True",0,"False",31.15,"True",0,"False",0,"False",2.98,36.9,27.75,72.48,27.71,85.82,22.01,83.65,21.89,68.12,39.93,29.12,"False"
